Site,Herbivory,Light,Species,BI,BI_cat,RBDI
2,control,light,Carpinus,35.12,High,0.360465116
2,control,light,Carpinus,11.33,Low,0.162162162
3,control,dark,Carpinus,17.5,Medium,0.077586207
3,control,light,Carpinus,26.49,Medium,0.696969697
3,control,light,Carpinus,33.75,High,0.285714286
3,control,light,Carpinus,26,Medium,0.428571429
3,control,light,Carpinus,37.19,High,0.135802469
3,control,light,Carpinus,44.03,High,0.359375
3,control,light,Carpinus,8.36,Low,0.217391304
4,control,dark,Carpinus,30.84,High,0.12
4,control,dark,Carpinus,20.49,Medium,0.631578947
4,control,light,Carpinus,35.78,High,0.35
4,control,light,Carpinus,25.77,Medium,0.272727273
4,control,light,Carpinus,43.89,High,0.2
4,control,light,Carpinus,24.11,Medium,0.483870968
4,control,light,Carpinus,20.71,Medium,0.114583333
4,control,light,Carpinus,36.42,High,0.133333333
5,control,dark,Carpinus,10,Low,0.333333333
5,control,dark,Carpinus,14.05,Medium,0.363636364
5,control,dark,Carpinus,9.05,Low,0.034313726
5,control,dark,Carpinus,20.83,Medium,0.457142857
5,control,dark,Carpinus,9.06,Low,0.333333333
5,control,dark,Carpinus,19.46,Medium,0.8
5,control,light,Carpinus,27.61,High,0.109090909
5,control,light,Carpinus,16.55,Medium,0.0625
5,control,light,Carpinus,18.55,Medium,0.4375
5,control,light,Carpinus,22.15,Medium,0.358974359
5,control,light,Carpinus,8.41,Low,0.487179487
5,control,light,Carpinus,1.11,Low,0.4
6,control,dark,Carpinus,18.72,Medium,0.355555556
6,control,dark,Carpinus,22.23,Medium,0.12962963
6,control,dark,Carpinus,14.22,Medium,0.456521739
6,control,dark,Carpinus,4.42,Low,0.154166667
6,control,dark,Carpinus,19.39,Medium,0.382352941
6,control,dark,Carpinus,10.67,Low,0.172413793
6,control,light,Carpinus,13.38,Low,0.485714286
6,control,light,Carpinus,12.5,Low,0.088235294
6,control,light,Carpinus,24.09,Medium,0.217391304
6,control,light,Carpinus,14.34,Medium,0.5
6,control,light,Carpinus,10.38,Low,0.113636364
6,control,light,Carpinus,26.82,High,0.272727273
1,control,light,Picea,34.92,High,0.027777778
1,control,light,Picea,18.82,Medium,0.031484258
1,control,light,Picea,10.79,Medium,0.036706349
1,control,light,Picea,26.1,High,0.062271062
1,control,light,Picea,14.41,Medium,0.045068929
1,control,light,Picea,14.45,Medium,0.051034483
2,control,light,Picea,30.18,High,0.031504065
2,control,light,Picea,27.35,High,0.055401662
2,control,light,Picea,18.18,Medium,0.038903625
2,control,light,Picea,26.04,High,0.050379848
2,control,light,Picea,16.25,Medium,0.027686404
2,control,light,Picea,20.54,High,0.043771044
3,control,dark,Picea,13.97,Medium,0.053571429
3,control,light,Picea,13.16,Medium,0.026447252
3,control,light,Picea,28.48,High,0.059064062
3,control,light,Picea,19.93,High,0.055555556
3,control,light,Picea,24.83,High,0.034234234
3,control,light,Picea,17.21,Medium,0.031037415
3,control,light,Picea,19.71,Medium,0.075445816
4,control,dark,Picea,19.32,Medium,0.048642534
4,control,dark,Picea,30.02,High,0.0410831
4,control,dark,Picea,33.03,High,0.039915966
4,control,dark,Picea,18.64,Medium,0.025813692
4,control,dark,Picea,27.23,High,0.054054054
4,control,light,Picea,12.41,Medium,0.054126295
4,control,light,Picea,12.74,Medium,0.029850746
4,control,light,Picea,13.71,Medium,0.042622951
4,control,light,Picea,10.61,Medium,0.03952381
4,control,light,Picea,10.3,Medium,0.0308
4,control,light,Picea,9.71,Low,0.082407407
5,control,dark,Picea,9.33,Low,0.043148688
5,control,dark,Picea,13.24,Medium,0.020975832
5,control,dark,Picea,8.19,Low,0.035102041
5,control,dark,Picea,15.5,Medium,0.033514493
5,control,dark,Picea,13.86,Medium,0.027536232
5,control,light,Picea,4.86,Low,0.087320574
5,control,light,Picea,6.54,Low,0.02688172
5,control,light,Picea,7.55,Low,0.016018307
6,control,dark,Picea,2.76,Low,0.053753475
6,control,dark,Picea,0.74,Low,0.01480698
6,control,dark,Picea,1.95,Low,0.062389937
6,control,dark,Picea,4.59,Low,0.087420754
6,control,dark,Picea,9.66,Low,0.06031746
6,control,light,Picea,4.45,Low,0.013368984
6,control,light,Picea,17.71,Medium,0.028490028
6,control,light,Picea,16.98,Medium,0.020408163
6,control,light,Picea,10.16,Medium,0.035614246
6,control,light,Picea,13.91,Medium,0.023833168
6,control,light,Picea,9.8,Low,0.033491081
1,control,light,Quercus,43.41,High,0.11627907
1,control,light,Quercus,53.53,High,0.085714286
1,control,light,Quercus,61.63,High,0.032345013
1,control,light,Quercus,61.67,High,0.117647059
1,control,light,Quercus,50,High,0.079268293
1,control,light,Quercus,44.92,High,0.046728972
2,control,dark,Quercus,5,Low,0.064102564
2,control,dark,Quercus,40.95,Medium,0.054421769
2,control,light,Quercus,20.61,Medium,0.035
2,control,light,Quercus,56.27,High,0.135416667
2,control,light,Quercus,32.73,Medium,0.075
2,control,light,Quercus,42.75,High,0.086538462
4,control,dark,Quercus,28.33,Medium,0.078947368
4,control,dark,Quercus,39.62,Medium,0.038235294
4,control,dark,Quercus,37.52,Medium,0.106666667
4,control,light,Quercus,35.42,Medium,0.1
4,control,light,Quercus,40.61,Medium,0.131944444
4,control,light,Quercus,24.18,Medium,0.116504854
4,control,light,Quercus,30.42,Medium,0.083168317
4,control,light,Quercus,13.58,Low,0.12295082
4,control,light,Quercus,54.64,High,0.133333333
5,control,dark,Quercus,30,Medium,0.003846154
5,control,light,Quercus,14.05,Low,0.03030303
5,control,light,Quercus,28.63,Medium,0.027941176
5,control,light,Quercus,2.5,Low,0.142857143
5,control,light,Quercus,27.15,Medium,0.017094017
5,control,light,Quercus,21.41,Medium,0.046
5,control,light,Quercus,26.13,Medium,0.03196347
6,control,dark,Quercus,11.67,Low,0.064102564
6,control,dark,Quercus,8.81,Low,0.051282051
6,control,dark,Quercus,12.89,Low,0.103448276
6,control,dark,Quercus,30.89,Medium,0.084745763
6,control,dark,Quercus,16.17,Low,0.027777778
6,control,dark,Quercus,12.88,Low,0.056097561
6,control,light,Quercus,15.06,Low,0.175675676
6,control,light,Quercus,38.1,Medium,0.062068966
6,control,light,Quercus,33.17,Medium,0.115151515
6,control,light,Quercus,21.82,Medium,0.062893082
6,control,light,Quercus,45.14,High,0.106918239
1,control,dark,Tilia,6.67,Low,0.206896552
1,control,dark,Tilia,15.83,Medium,0.315789474
1,control,dark,Tilia,4,Low,0.214285714
1,control,dark,Tilia,12.5,Low,0.236842105
1,control,light,Tilia,22.17,Medium,0.176470588
1,control,light,Tilia,29.9,Medium,0.072463768
1,control,light,Tilia,33,High,0.222222222
1,control,light,Tilia,54.76,High,0.049382716
1,control,light,Tilia,54.64,High,0.307692308
1,control,light,Tilia,28,Medium,0.291666667
2,control,dark,Tilia,18.38,Medium,0.227272727
2,control,dark,Tilia,31.46,Medium,0.222222222
2,control,dark,Tilia,17,Medium,0.194444444
2,control,dark,Tilia,11.43,Low,0.222222222
2,control,light,Tilia,23.41,Medium,0.163043478
2,control,light,Tilia,6.67,Low,0.066666667
2,control,light,Tilia,28.85,Medium,0.4
2,control,light,Tilia,12.22,Low,0.227272727
2,control,light,Tilia,11.86,Low,0.205128205
2,control,light,Tilia,37.56,High,0.512195122
3,control,dark,Tilia,40,High,0.19047619
3,control,dark,Tilia,7.5,Low,0.235294118
3,control,dark,Tilia,10,Low,0.289473684
3,control,dark,Tilia,14.67,Medium,0.206896552
3,control,dark,Tilia,6.94,Low,0.191489362
3,control,dark,Tilia,23.33,Medium,0.037037037
3,control,light,Tilia,28.66,Medium,0.159090909
3,control,light,Tilia,27.25,Medium,0.266666667
3,control,light,Tilia,24.74,Medium,0.733333333
3,control,light,Tilia,46.67,High,0.179487179
3,control,light,Tilia,29,Medium,0.388888889
3,control,light,Tilia,33.23,High,0.194444444
4,control,dark,Tilia,49.05,High,0.152380952
4,control,dark,Tilia,13.57,Low,0.166666667
4,control,dark,Tilia,22.69,Medium,0.076470588
4,control,dark,Tilia,23.33,Medium,0.052083333
4,control,light,Tilia,32,Medium,0.188235294
4,control,light,Tilia,26.15,Medium,0.37037037
4,control,light,Tilia,11.67,Low,0.1875
4,control,light,Tilia,23.24,Medium,0.156862745
4,control,light,Tilia,55.31,High,0.285714286
4,control,light,Tilia,23.71,Medium,0.195121951
5,control,dark,Tilia,33.33,High,0.090909091
5,control,dark,Tilia,9.25,Low,0.138297872
5,control,dark,Tilia,4.44,Low,0.382978723
5,control,dark,Tilia,41,High,0.057971014
5,control,dark,Tilia,38.19,High,0.268292683
5,control,dark,Tilia,31.39,Medium,0.310344828
5,control,light,Tilia,10.45,Low,0.162162162
5,control,light,Tilia,39.9,High,0.202020202
5,control,light,Tilia,28.33,Medium,0.075
5,control,light,Tilia,12,Low,0.043010753
5,control,light,Tilia,21.78,Medium,0.106666667
5,control,light,Tilia,32.55,Medium,0.489795918
6,control,dark,Tilia,20.33,Medium,0.176470588
6,control,dark,Tilia,39,High,0.5
6,control,dark,Tilia,16.39,Medium,0.209302326
6,control,dark,Tilia,32.56,High,0.09
6,control,dark,Tilia,26.67,Medium,0.093023256
6,control,light,Tilia,30.14,Medium,0.272727273
6,control,light,Tilia,14,Low,0.296296296
6,control,light,Tilia,20.55,Medium,0.158536585
6,control,light,Tilia,19.44,Medium,0.095890411
6,control,light,Tilia,15.42,Medium,0.283333333
6,control,light,Tilia,49.27,High,0.65625
